dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-11-30,23500,24050,24150,23400,23500,1.195567,0.000645,2.54,-248,1734,53450,22.76,1389.373655,1162.35,11006.02,2820.18,1385,84.8,1904.63,1289.01,-0.004264399,1
2010-12-01,23400,23550,23750,23000,23400,1.196758,0.000629,2.53,790,998,53385,21.73,1363.943562,1150.35,11255.78,2823.45,1387.3,86.7,1929.32,1288.78,0.016949558,3
2010-12-02,23800,23650,24050,23550,23800,1.171343,0.000633,2.57,-807,1268,53435,19.8,1367.292384,1150.85,11362.41,2843.61,1388.5,88,1950.26,1316.95,-0.014815086,0
2010-12-03,23450,24000,24150,23250,23450,1.17168,0.000632,2.54,-1291,1150,53500,18.84,1375.634825,1137.65,11382.09,2842.43,1405.4,89.2,1957.26,1327.89,0.021097829,3
2010-12-06,23950,23600,24100,23500,23950,1.167604,0.000615,2.59,52,1004,53490,19.2,1372.041063,1136.05,11362.19,2857.18,1415.3,89.4,1953.64,1333.6,-0.014721612,0
2010-12-07,23600,23400,23650,23200,23600,1.16205,0.00061,2.55,307,667,53515,18.72,1363.888554,1130.8,11359.16,2875.86,1408.3,88.7,1962.52,1340.85,-0.012793351,1
2010-12-08,23300,23650,23900,23250,23300,1.164702,0.000611,2.52,-1081,472,53355,18.87,1360.128617,1142.1,11372.48,2848.55,1382.5,88.4,1955.72,1328.12,0.03583102,3
2010-12-09,24150,23350,24200,23300,24150,1.174177,0.000628,2.61,1116,1258,53365,18.2,1358.216971,1138.05,11370.06,2810.95,1392.1,88.4,1988.96,1358.82,0.014388737,3
2010-12-10,24500,24100,24650,23800,24500,1.17201,0.00063,2.65,2206,800,53400,17.5,1359.959495,1141.55,11410.32,2841.04,1384.3,87.8,1986.14,1360.01,-0.006141268,1
2010-12-13,24350,24300,24500,24000,24350,1.169607,0.000622,2.63,271,320,52640,16.95,1367.689186,1145.85,11428.56,2922.95,1397.3,88.6,1996.59,1366.47,0.016293639,3
2010-12-14,24750,24500,25150,24450,24750,1.17446,0.000625,2.68,1430,953,52570,15.99,1366.435074,1140.7,11476.54,2927.08,1403.6,88.2,2009.05,1367.63,-0.020408872,0
2010-12-15,24250,24900,24900,24100,24250,1.170754,0.000565,2.62,-1229,492,52365,15.85,1377.596085,1154.15,11457.47,2911.41,1385.5,88.5,2017.48,1349.74,-0.002063984,1
2010-12-16,24200,24250,24750,24100,24200,1.170623,0.000559,2.62,-377,310,52525,16.12,1373.381637,1156.25,11499.25,2898.14,1370.4,87.7,2009.24,1353.83,-0.016667052,0
2010-12-17,23800,24450,24600,23650,23800,1.168329,0.000527,2.57,-2480,737,52535,15.99,1375.877663,1156.15,11491.91,2893.74,1378.6,88,2026.3,1355.8,-0.006322466,1
2010-12-20,23650,23400,23650,23100,23650,1.170382,0.000528,2.56,-1035,1032,52505,17.98,1379.481358,1154.35,11478.13,2852.92,1385.5,88.8,2020.28,1348.2,0.004219416,2
2010-12-21,23750,23850,24200,23650,23750,1.171078,0.000528,2.57,-1105,185,52660,17.51,1378.916527,1153.05,11533.16,2904.11,1388.2,89.5,2037.09,1353.83,-0.01912917,0
2010-12-22,23300,23500,23850,23300,23300,1.175239,0.000527,2.52,-1732,389,52820,17.67,1379.578645,1152.5,11559.49,2877.9,1386.8,90.1,2038.11,1349.28,0,1
2010-12-23,23300,23350,23500,23000,23300,1.175095,0.000524,2.52,-1537,473,52755,17.69,1390.862027,1155.25,11573.49,2855.22,1380,91.2,2037.53,1345.45,-0.00645858,1
2010-12-24,23150,23400,23800,23050,23150,1.175794,0.000523,2.5,-934,160,52715,18.1,1381.590059,1145.2,11573.49,2835.16,1380,91.2,2029.6,1326.99,-0.002162163,1
2010-12-27,23100,22900,23350,22900,23100,1.175284,0.000523,2.5,242,246,52680,18.1,1388.385851,1150,11555.03,2781.4,1382.4,91,2022.19,1330.23,0.036135706,3
2010-12-28,23950,23250,24250,23250,23950,1.182057,0.000542,2.59,3403,1132,52650,17.05,1394.140577,1144.45,11575.54,2732.99,1405.2,91.4,2033.32,1351.3,0.012448294,2
2010-12-29,24250,24200,24400,24050,24250,1.18699,0.000532,2.62,506,944,52605,16.19,1394.961571,1143.45,11585.38,2751.53,1413.1,91.1,2043.49,1364.64,-0.010362787,1
2010-12-30,24000,24300,24500,23900,24000,1.176663,0.000533,2.6,525,531,52675,15.83,1387.140233,1132.6,11569.71,2759.57,1405.6,89.7,2051,1376.59,0.052750565,3
2011-01-03,25300,25000,25300,24800,25300,1.193083,0.000577,1.83,5552,1235,52560,16.37,1376.760132,1124.4,11670.75,2759.57,1422.6,91.7,2070.08,1401.5,0.011787956,2
2011-01-04,25600,25400,25600,25050,25600,1.184028,0.000535,1.85,2091,1789,52570,15.7,1366.147481,1122.7,11691.18,2852.65,1378.5,89.3,2085.14,1398.95,0.011650617,2
2011-01-05,25900,25450,26300,25200,25900,1.177811,0.000536,1.87,1283,3364,52545,15.86,1355.166607,1126.55,11722.89,2838.59,1373.4,90.3,2082.55,1385.79,0.007692346,2
2011-01-06,26100,26250,26600,25800,26100,1.16171,0.000518,1.89,1210,3402,52470,15.67,1347.17708,1119.1,11697.31,2824.2,1371.4,89.4,2077.61,1382.38,0,1
2011-01-07,26100,26100,26450,25700,26100,1.166737,0.000518,1.89,57,1173,52430,15.41,1345.165165,1119.85,11674.76,2838.8,1368.5,88.1,2086.2,1386.37,-0.031130919,0
2011-01-10,25300,26000,26050,25300,25300,1.170257,0.000534,1.83,-409,1702,52465,16.24,1362.12304,1129.2,11637.45,2791.81,1373.7,89.3,2080.81,1368.62,0.003944778,2
2011-01-11,25400,25500,25650,25100,25400,1.16855,0.000518,1.84,456,901,52455,15.78,1352.697345,1125.85,11671.88,2804.05,1384,91.1,2088.32,1358.81,0.036719101,3
2011-01-12,26350,25600,26550,25550,26350,1.172133,0.000538,1.9,855,4389,52535,15.58,1334.313137,1112.15,11755.44,2821.3,1385.7,91.8,2094.95,1360.96,0.033585246,3
